4,1000,1.999998,0.000000,2.000000
4,10000,2.000000,0.000000,2.000000
4,100000,2.000000,0.000000,2.000000
4,1000000,2.000000,0.000000,2.000000
1,1000,1.999998,0.000000,2.000000
1,10000,2.000000,0.000000,2.000000
1,100000,2.000000,0.000000,2.000000
1,1000000,2.000000,0.000000,2.000000
2,1000,1.999998,0.000000,2.000000
2,10000,2.000000,0.000000,2.000000
2,100000,2.000000,0.000000,2.000000
2,1000000,2.000000,0.000000,2.000000
8,1000,1.999998,0.000000,2.000000
8,10000,2.000000,0.000000,2.000000
8,100000,2.000000,0.000000,2.000000
8,1000000,2.000000,0.000000,2.000000
